chamber,layerno,branchnumber,stemnumber,oldbranchnumber,azimuthangle ,diameter,length, insertionheight,tipheight,br2order,Wleafandpetiole,WsubsampleLA,leafarea,Wnonexpleaf,Wflowerbuds,Wbrlt1,Wbrgt1,Wdeadwood,Comments
ch17,1,5,1,27,S,0.85,102,184.5,212,11,41.8,,1451.22,,,40.8,0,,Lot of old leaves almost falling off
ch17,2,1,1,33,E,1.37,155,221,324,15,171.9,85.4,3091.19,,,94.6,54.1,,
ch17,2,2,1,35,S,0.85,127,230.5,275,9,72.3,,2676.3,,,47.1,0,,
ch17,2,3,1,34,NNW,1.7,200,226,374,25,263.8,84.9,3165.16,,,115.2,174.9,,
ch17,2,4,1,38,N,1.47,182,246,363,20,205.2,84.3,3052.76,,,100.9,94,,
ch17,2,5,1,42,NNE,1.94,247,270,482,30,335.9,95.8,3142.1,0.5,0.6,157.8,292.8,,
ch17,3,1,1,49,S,1.91,243,319.5,520,27,367.3,99.9,3116.59,2.2,0.4,144.2,302.5,,
ch17,3,2,1,44,NW,2.12,250,282.5,504,29,542.7,103.8,3481.72,2.4,,275.8,370.1,,
ch17,3,3,1,46,N,2.07,285,299,560,40,502.1,104.4,3339.09,2.7,2.6,229.2,424.2,,
ch17,3,4,1,47,SSW,1.38,206,305.5,447,23,203.9,93.1,3171.58,,,118.5,89.9,,
ch17,3,5,1,52,SE,0.76,105,340,411.5,9,74.6,,2650.56,,,49.4,0,,
ch17,4,1,1,56,E,1.32,233,382.5,598.5,30,351.4,109.3,3153.79,13.5,,181.5,268.8,,
ch17,4,2,1,58,W,1.75,232,404.5,627.5,30,340.6,111.4,3178.45,8.5,,148.9,263.1,,
ch17,4,3,1,60,N,1.19,230,417,634.5,30,306.2,109.3,3183.67,14.2,,134,244.6,,
ch17,4,4,1,64,S,1.44,200,450,645.5,22,208.2,108.2,3173.11,5.9,,138.4,117.4,,
ch17,4,5,1,65,SW,0.74,122,459,263.5,6,62.6,,1907.49,,,39.8,0,,98% in L5
ch17,5,1,1,71,E,0.84,132,517,645.5,12,49.6,,1531.27,5,,59.7,0,,
ch17,5,2,1,73,NWW,0.65,107,531.5,624.5,5,31.4,,949.34,6.6,,29.1,0,,
ch17,5,3,1,75,S,0.3,47,560.5,594.5,0,5,,159.03,,,2.9,0,,
ch17,5,4,1,77,NW,0.58,83,579,650.5,8,9.4,,284.93,8,,19.7,0,,
ch17,5,5,1,78,SW,0.37,70,584.5,625.5,1,7.3,,218.11,4.6,,7.2,0,,
ch18,1,1,1,18,E,0.87,129,106.5,83,11,45.8,,1847.11,,,51.7,0,,
ch18,1,2,1,27,N,1.49,184,178,292,18,200.7,84.4,3192.2,0.2,,123,   ,,
ch18,1,3,1,29,SSW,0.82,118,190,219,9,39.7,,1544.75,,,40.7,0,,
ch18,1,4,1,28,SE,0.88,129,181,195,12,76.6,,2864.66,,,55.6,0,,
ch18,1,5,1,22,NE,0.85,118,139.5,171,7,57.5,,2192.48,,,42.2,0,,
ch18,2,1,1,36,SE,1.63,183,236,376,26,400.2,82.9,3130.75,17.7,2.6,248.5,217.53,,
ch18,2,2,1,42,NE,1.81,225,291,496,28,285.3,77.4,3145.37,17.3,,193.3,242.1,,
ch18,2,3,1,38,NE,1.14,144,252.5,346,18,138.2,78.6,3209.4,,,102.1,29.9,,
ch18,2,4,1,37,SSW,1.58,205,247,404,21,236.7,79.1,3101.18,7.5,0.1,147.8,134.2,,
ch18,2,5,1,35,NNW,1.93,250,231,448,22,257.4,83.5,3276.75,4.3,,137.2,154.1,,
ch18,3,1,1,44,SE,2.02,272,309,552.5,35,460.9,97.9,3068.63,16.3,,214.7,394.3,,
ch18,3,2,1,45,N,1.22,183,326,477,19,177.1,92.4,3284.18,14,2.8,143.5,37.6,,
ch18,3,3,1,46,W,1.45,204,341,529,27,288.7,93,3200.12,8.6,1.9,183.2,93.8,,
ch18,3,4,1,47,E,1.63,230,348.6,560,29,322.6,88.3,2855.74,39.6,,152.2,238.1,,
ch18,3,5,1,51,NNE,0.87,104,386,470,10,76.2,,2611.75,,,50.6,0,,
ch18,4,1,1,61,W,0.42,70,464,506.5,1,16.7,,492.55,,,7.1,0,,
ch18,4,2,1,54,W,1.25,168,406,542.5,15,146,,4407.64,4.4,,110.8,24.5,,
ch18,4,3,1,55,NNE,1.72,242,408,621.5,30,335.2,120.83,3397.69,29.6,,158.1,287.8,,
ch18,4,4,1,62,NNW,1.19,170,487.5,623.5,21,146,,4518.47,12.25,,118.8,39.4,,90% in L5
ch18,4,5,1,63,SE,1.15,152,497,635.5,17,128.7,,3860.29,17.1,,107.7,21.2,,97% in L5
ch18,5,1,1,65,SW,0.85,123,523.5,631.5,10,76.2,,2358.91,5,,55,0,,
ch18,5,2,1,68,E,0.56,81,541,595.5,2,30.3,,943.27,0.7,,15.9,0,,
ch18,5,3,1,70,N,0.8,107,562,644.5,10,58.4,,1851.17,9.1,,50.9,0,,
ch18,5,4,1,71,W,0.69,99,574.5,648.5,8,43.9,,1422.3,5,,35,0,,
ch18,5,5,1,72,E,0.79,103,580,677.5,9,46.1,,1478.92,9.1,,44.9,0,,
