chamber,stemnumber,branchnumber,diameter,length,heightfloor,heightground,tipheightfloor,tipheightground,comments
ch05,1.2.1,4,4.85,83,186,231,110,155,
ch05,1.2.1,5,7.27,107,186,231,129,174,
ch05,1.2.1,6,3.24,41,201,246,183,228,
ch05,1.2.1,7,2.8,68,206,251,171,216,
ch05,1.2.1,8,5.03,95,209,254,140,185,
ch05,1.2.1,9,7.6,69,213,258,164,209,
ch05,1.2.1,10,8.13,112,227,272,175,220,
ch05,1.2.1,11,11.19,118,240,285,213,258,
ch05,1.2.1,12,6.18,74,244,289,208,253,
ch05,1.2.1,13,8.5,111,259,304,232,277,
ch05,1.2.1,14,6.51,103,267,312,241,286,
ch05,1.2.1,15,3.36,105,278,323,274,319,
ch05,1.2.1,16,6.22,70,286,331,267,312,
ch05,1.2.1,17,12.54,143,303,348,241,286,typo fixed in branch diameter (RAD)
ch05,1.2.1,18,7.69,92,311,356,342,387
ch05,1.2.1,19,12.36,141,321,366,372,417
ch05,1.2.1,20,3.44,48,327,372,301,346
ch05,1.2.1,21,11.48,140,344,389,447,492
ch05,1.2.1,22,7.4,88,365,410,453,498
ch05,1.2.1,23,4.85,70,370,415,375,420
ch05,1.2.1,24,6.17,87,382,427,453,498
ch05,1.2.1,25,5.49,72,388,433,391,436
ch05,1.2.1,26,3.8,58,395,440,450,495
ch05,1.2.1,27,3.81,43,401,446,449,494
ch05,1.2.1,28,3,38,408,453,430,475
ch05,1.2.1,29,3.66,50,420,465,454,499
ch05,1.2.1,30,3.53,31,427,472,430,475
ch05,1.2.1,31,2.37,47,430,475,446,491
ch05,1.2.1,32,3.31,33,432,477,457,502
ch05,1.2.1,33,2.86,38,434,479,412,457
ch05,1.2.1,34,3.27,30,444,489,447,492,
ch05,1.2.1,35,3.22,25,454,499,435,480,
ch05,1.2.1,36,2.49,20,459,504,445,490,
ch05,1.2.1,37,2.15,10,466,511,440,485,
ch05,1.2.2,1,3.05,41,192,237,130,175,
ch05,1.2.2,2,,,,45,,,Broken
ch05,1.2.2,3,,,,45,,,Broken
ch05,1.2.2,4,3.31,50,193,238,130,175,
ch05,1.2.2,5,4.21,67,193,238,136,181,
ch05,1.2.2,6,4.32,95,203,248,125,170,
ch05,1.2.2,7,4.91,96,210,255,170,215,
ch05,1.2.2,8,5.6,70,220,265,161,206,
ch05,1.2.2,9,4.27,70,224,269,211,256,
ch05,1.2.2,10,5.29,39,233,278,233,278,
ch05,1.2.2,11,4.45,86,242,287,199,244,
ch05,1.2.2,12,4.06,67,250,295,236,281,
ch05,1.2.2,13,3.61,51,234,279,249,294,
ch05,1.2.2,14,4.06,85,263,308,223,268,
ch05,1.2.2,15,5.78,85,271,316,236,281,
ch05,1.2.2,16,7.69,104,279,324,319,364,
ch05,1.2.2,17,5.55,79,285,330,243,288,
ch05,1.2.2,18,6.84,94,294,339,357,402,
ch05,1.2.2,19,6.37,77,301,346,278,323,
ch05,1.2.2,20,6.18,107,317,362,273,318,
ch05,1.2.2,21,3.92,56,323,368,326,371,
ch05,1.2.2,22,8.45,90,330,375,356,401,
ch05,1.2.2,23,2.02,,,45,,,Broken
ch05,1.2.2,24,4.63,75,344,389,312,357,
ch05,1.2.2,25,3.5,45,348,393,386,431,
ch05,1.2.2,26,4.65,64,354,399,369,414,
ch05,1.2.2,27,3.57,57,367,412,335,380,
ch05,1.2.2,28,3.02,46,374,419,355,400,
ch05,1.2.2,29,4.07,43,384,429,393,438
ch05,1.2.2,30,2.99,35,389,434,410,455
ch05,1.2.2,31,2.94,37,394,439,391,436
ch05,1.2.2,32,2.39,30,402,447,417,462
ch06,1,1,3.82,45,9,54,0,45
ch06,1,2,3.3,48,13,58,0,45
ch06,1,3,2.15,30,17,62,27,72
ch06,1,4,1.85,46,18,63,1,46
ch06,1,5,4.3,63,18,63,0,45
ch06,1,6,3.93,73,22,67,0,45
ch06,1,7,4.95,65,22,67,0,45
ch06,1,8,4.88,70,22.5,67.5,0,45
ch06,1,9,7,68,24.5,69.5,0,45
ch06,1,10,5.28,70,24.5,69.5,0,45
ch06,1,11,7.4,60,27.5,72.5,0,45
ch06,1,12,4.58,88,27.5,72.5,0,45
ch06,1,13,5.89,68,31.5,76.5,0,45,
ch06,1,14,7.73,64,31.5,76.5,0,45,
ch06,1,15,12.67,118,37.5,82.5,50,95,
ch06,1,16,7.32,70,39.5,84.5,0,45,
ch06,1,17,7.77,86,47.5,92.5,0,45,
ch06,1,18,9.16,97,51.5,96.5,33,78,
ch06,1,19,3.3,72,60.5,105.5,7,52,
ch06,1,20,8.05,70,63,108,17,62,
ch06,1,21,3.92,50,86.5,131.5,53,98,
ch06,1,23,3.5,60,89.5,134.5,14,59,Numbers 22 and 23 were switched (RAD)
ch06,1,22,9.58,74,90.5,135.5,62,107,
ch06,1,24,5.56,61,93.5,138.5,57,102,
ch06,1,25,4.67,62,94.5,139.5,37,82,
ch06,1,26,3.93,77,97.5,142.5,48,93,
ch06,1,27,3.91,58,102.5,147.5,58,103,
ch06,1,28,5.95,76,107.5,152.5,62,107,
ch06,1,29,5.62,74,112.5,157.5,60,105
ch06,1,30,10.37,89,115,160,75,120
ch06,1,31,7.34,82,116.5,161.5,58,103
ch06,1,32,7.49,86,122.5,167.5,84,129
ch06,1,33,6.25,81,130.5,175.5,68,113
ch06,1,34,7.64,97,139.5,184.5,86,131
ch06,1,35,5.14,78,149.5,194.5,85,130
ch06,1,36,8.34,100,150.5,195.5,150,195
ch06,1,37,5.65,81,161.5,206.5,107,152
ch06,1,38,7.66,94,173.5,218.5,142,187
ch06,1,39,4.61,76,182.5,227.5,126,171
ch06,1,40,7.8,98,187,232,167,212
ch06,1,41,6.29,81,205.5,250.5,170,215
ch06,1,42,7.53,96,213.5,258.5,186,231
ch06,1,43,5.17,79,226.5,271.5,190,235
ch06,1,44,6.67,83,235.5,280.5,208,253
ch06,1,45,5.88,83,247,292,209,254,
ch06,1,46,5.83,89,255.5,300.5,236,281,
ch06,1,47,5.42,78,275.5,320.5,211,256,
ch06,1,48,5.9,85,283.5,328.5,260,305,
ch06,1,49,4.47,72,298.5,343.5,271,316,
ch06,1,50,3.91,77,306,351,266,311,
ch06,1,51,3.46,56,318.5,363.5,299,344,
ch06,1,52,4.11,46,327.5,372.5,328,373,
ch06,1,53,2.58,38,338.5,383.5,320,365,
ch06,1,54,3.81,38,345.5,390.5,360,405,
ch06,1,55,2.01,25,355.5,400.5,339,384,
ch06,1,56,2.41,18,365.5,410.5,365,410,
ch06,1,57,1.37,8,379,424,358,403,typo fixed in branch diameter (RAD)
ch07,1,1,4.02,47,4,49,0,45,
ch07,1,2,4.22,47,7,52,0,45,
ch07,1,3,4.54,39,7,52,8,53,
ch07,1,4,4.61,84,11,56,0,45
ch07,1,5,5.62,56,11,56,0,45
ch07,1,6,3.03,45,13,58,17,62
ch07,1,7,9.22,125,19,64,0,45
ch07,1,8,5.8,60,24,69,24,69
ch07,1,9,5.06,56,31,76,8,53
ch07,1,10,10.53,147,33,78,0,45
ch07,1,11,4.07,53,39,84,12,57
ch07,1,12,3.45,47,42,87,20,65
ch07,1,13,6.42,90,48,93,0,45
ch07,1,14,7.82,103,52,97,17,62
ch07,1,15,11.35,124,64,109,17,62
ch07,1,16,2.93,40,67,112,38,83
ch07,1,17,3.01,31,77,122,53,98
ch07,1,18,7,87,85.5,130.5,50,95
ch07,1,19,9.86,105,96,141,40,85
ch07,1,20,2.97,38,102,147,74,119
ch07,1,21,4.16,55.5,113,158,71,116
ch07,1,22,8.71,102,119,164,58,103
ch07,1,23,11.9,110,129.5,174.5,78.5,123.5
ch07,1,24,5.08,78,135,180,82,127
ch07,1,25,6.07,78.5,144,189,83,128
ch07,1,26,12.06,131,150,195,110,155
ch07,1,27,8.72,101,160,205,104,149
ch07,1,28,6.7,95,162.5,207.5,105,150
ch07,1,29,5.53,77,169.5,214.5,113,158
ch07,1,30,8.66,109,174.5,219.5,125.5,170.5
ch07,1,31,11.78,125,180.5,225.5,127.5,172.5
ch07,1,32,6.33,83,183.5,228.5,130.5,175.5
ch07,1,33,7.73,88,188,233,132,177
ch07,1,34,13.03,126,193,238,188.5,233.5
ch07,1,35,9.86,105,199,244,165,210
ch07,1,36,7.57,88,204,249,155.5,200.5
ch07,1,37,7.56,82,211,256,150,195
ch07,1,38,12.86,110,216,261,244,289
ch07,1,39,10.71,120,222.5,267.5,244,289
ch07,1,40,16.66,137,234,279,324,369
ch07,1,41,9.08,90,241,286,187,232
ch07,1,42,12.81,118,247,292,320,365
ch07,1,43,9.96,112,258,303,256,301
ch07,1,44,9.21,115,267.5,312.5,294,339
ch07,1,45,8.57,92,279.5,324.5,252,297
ch07,1,46,13.16,120,290.5,335.5,401,446
ch07,1,47,7.98,70,301.5,346.5,253,298
ch07,1,48,9.71,105,308,353,383,428
ch07,1,49,7.93,91,320,365,329,374
ch07,1,50,8.17,89,326,371,403,448
ch07,1,51,7.03,92,338,383,411,456
ch07,1,52,7.78,87,343,388,425,470
ch07,1,53,6.44,78,353,398,415,460
ch07,1,54,5.25,66,362,407,413,458
ch07,1,55,3.82,59,372,417,435,480
ch07,1,56,5.13,56,377,422,424,469
ch07,1,57,2.72,42,386,431,422,467
ch07,1,58,2.63,37,393,438,434,479
ch07,1,59,2.45,24,403,448,426,471
ch07,1,60,1.6,18,411,456,423,468
ch08,1,1,2.61,48,15,60,0,45
ch08,1,2,3.58,64,15,60,0,45
ch08,1,3,4.19,45,18,63,0,45
ch08,1,4,3.555,69,19,64,0,45
ch08,1,5,6.97,84,20,65,0,45
ch08,1,6,19.53,220,26,71,172,217
ch08,1,7,5.025,61,28,73,0,45
ch08,1,8,4.685,63,29,74,0,45
ch08,1,9,6.18,61,31,76,0,45
ch08,1.1,1,6.025,92,58,103,0,45
ch08,1.1,2,4.505,79,62,107,0,45
ch08,1.1,3,6.47,87,66,111,16,61
ch08,1.1,4,5.975,87,71,116,7,52
ch08,1.1,5,7.995,99,77,122,6,51
ch08,1.1,6,4.5955,89,84,129,16,61
ch08,1.1,7,4.835,78,90,135,28,73
ch08,1.1,8,4.95,91,96,141,44,89
ch08,1.1,9,9.375,100,104,149,83,128
ch08,1.1,10,6.065,92,112,157,41,86
ch08,1.1,11,8.085,94,123,168,68,113
ch08,1.1,12,8.735,111,131,176,68,113
ch08,1.1,13,16.265,196,140,185,273,318
ch08,1.1,14,6.68,94,149,194,86,131
ch08,1.1,15,9.04,99,163,208,126,171,
ch08,1.1,16,8.26,102.5,170,215,137,182,
ch08,1.1,17,9.91,128,180,225,137,182,
ch08,1.1,18,6.91,94,188,233,157,202,
ch08,1.1,19,7.84,101,196,241,170,215,
ch08,1.1,20,8.63,93,201,246,172,217,
ch08,1.1,21,8.485,78,208,253,164,209,
ch08,1.1,22,8.485,102,214,259,92,137,Typo in branch L fixed (was 182) (RAD)
ch08,1.1,23,11.1,143,220,265,221,266,
ch08,1.1,24,8.45,93,225,270,230,275,
ch08,1.1,25,8.815,94,236,281,,,broken
ch08,1.1,26,8.885,110,242,287,261,306,
ch08,1.1,27,8.415,105,256,301,241,286,
ch08,1.1,28,9.655,88,264,309,295,340,
ch08,1.1,29,9.545,106,273,318,346,391,
ch08,1.1,30,7.655,99,279,324,337,382,
ch08,1.1,31,7.65,92,288,333,339,384
ch08,1.1,32,6.36,73,292,337,310,355
ch08,1.1,33,6.215,65,297,342,294,339
ch08,1.1,34,6.845,85,302,347,351,396
ch08,1.1,35,1.395,,12,57,,45
ch08,1.1,36,2.87,54,328,373,295,340
ch08,1.1,37,4.905,66,332,377,317,362
ch08,1.1,38,5.685,69,340,385,363,408
ch08,1.1,39,6.685,64,345,390,385,430
ch08,1.1,40,6.285,54,354,399,388,433
ch08,1.1,41,4.27,42,360,405,402,447
ch08,1.1,42,3.78,43,373,418,395,440
ch08,1.1,43,3.445,32,377,422,408,453
ch08,1.1,44,2.805,25,391,436,394,439
ch08,1.1,45,2.36,16,400,445,407,452
ch08,1.2,1,4.14,54,42,87,0,45
ch08,1.2,2,2.765,77,46,91,0,45
ch08,1.2,3,6.005,104,54,99,0,45
ch08,1.2,4,7.97,120,61,106,20,65
ch08,1.2,5,3.48,57,65,110,13,58
ch08,1.2,6,6.185,108,70,115,0,45
ch08,1.2,7,2.795,62,77,122,12,57
ch08,1.2,8,2.755,63,83,128,37,82
ch08,1.2,9,6.565,112,93,138,28,73
ch08,1.2,10,3.495,64,96,141,44,89
ch08,1.2,11,8.29,147,106,151,144,189
ch08,1.2,12,7.04,101,112,157,71,116
ch08,1.2,13,7.94,95,120,165,117,162
ch08,1.2,14,6.38,80,126,171,80,125
ch08,1.2,15,6.815,96,133,178,101,146
ch08,1.2,16,5.065,65,138,183,102,147
ch08,1.2,17,7.465,88,148,193,137,182
ch08,1.2,18,5.935,77,155,200,142,187
ch08,1.2,19,6.915,95,163,208,158,203
ch08,1.2,20,6.115,76,174,219,145,190
ch08,1.2,21,10.15,130,182,227,181,226
ch08,1.2,22,5.72,90,186,231,193,238
ch08,1.2,23,5.285,78,193,238,177,222
ch08,1.2,24,4.51,70,199,244,171,216
ch08,1.2,25,7.775,99,208,253,205,250
ch08,1.2,26,5.355,91,221,266,190,235
ch08,1.2,27,6.84,106,230,275,220,265
ch08,1.2,28,9.39,114,237,282,223,268
ch08,1.2,29,9.095,117,247,292,220,265
ch08,1.2,30,4.645,73,256,301,209,254
ch08,1.2,31,6.01,85,273,318,275,320
ch08,1.2,32,6.205,77,276,321,277,322
ch08,1.2,33,6.935,92,280,325,368,413
ch08,1.2,34,4.595,68,283,328,261,306
ch08,1.2,35,4.78,79,291,336,290,335
ch08,1.2,36,5.33,70,309,354,369,414
ch08,1.2,37,3.555,59,318,363,305,350
ch08,1.2,38,4.56,50,329,374,338,383
ch08,1.2,39,4.605,44,336,381,359,404
ch08,1.2,40,3.705,41,347,392,378,423
ch08,1.2,41,3.725,30,351,396,342,387
ch08,1.2,42,3.56,32,360,405,365,410
ch08,1.2,43,2.54,20,365,410,370,415
ch08,1.2,44,1.905,11,377,422,379,424
ch08,1.2,45,1.64,9,381,426,374,419
ch09,1,1,3.035,50,6,51,0,45
ch09,1,2,4.16,80,8,53,0,45
ch09,1,3,5.015,81,8,53,0,45
ch09,1,4,9.175,106,13,58,0,45
ch09,1,5,4.435,88,13,58,0,45
ch09,1,6,5.585,79,17,62,0,45
ch09,1,7,16.875,87,21,66,55,100
ch09,1,8,6.99,120,21,66,0,45
ch09,1,9,5.17,76,24,69,0,45
ch09,1,10,9.13,109,28,73,0,45
ch09,1,11,6.275,76,30,75,0,45
ch09,1,12,6.385,83,36,81,0,45
ch09,1,13,4.655,57,36.5,81.5,0,45
ch09,1,14,10.595,134,42.5,87.5,0,45
ch09,1,15,6.575,80,46,91,0,45
ch09,1,16,11.035,119,52.5,97.5,0,45
ch09,1,17,7.235,80,54.5,99.5,12,57
ch09,1,18,8.285,110,62.5,107.5,0,45
ch09,1,19,5.655,73,68.5,113.5,19,64
ch09,1,20,4.015,60,78.5,123.5,34,79
ch09,1,21,4.835,82,84.5,129.5,29,74
ch09,1,22,12.51,114,98.5,143.5,40,85
ch09,1,23,10.945,110,134.5,179.5,63,108
ch09,1,24,6,73,143.5,188.5,86,131
ch09,1,25,25.905,250,151,196,270,315
ch09,1,26,11.135,123,158.5,203.5,94,139
ch09,1,27,7.025,98,163.5,208.5,100,145
ch09,1,28,5.265,74,167.5,212.5,101,146
ch09,1,29,11.32,130,173.5,218.5,100,145
ch09,1,30,10.035,112,177.5,222.5,106,151
ch09,1,31,7,96,182.5,227.5,90,135
ch09,1,32,11.23,67,188.5,233.5,158,203
ch09,1,33,14,155,197.5,242.5,170,215
ch09,1,34,8.18,78,203.5,248.5,156,201
ch09,1,35,9.735,135,206,251,180,225
ch09,1,36,11.365,130,211.5,256.5,216,261
ch09,1,37,11.855,141,221.5,266.5,189,234
ch09,1,38,18.72,200,232.5,277.5,295,340
ch09,1,39,14.925,156,242.5,287.5,324,369
ch09,1,40,14.585,150,245,290,380,425
ch09,1,41,10.375,142,258,303,257,302
ch09,1,42,16.405,189,265,310,400,445
ch09,1,43,9.695,126,279,324,320,365
ch09,1,44,11.15,133,291,336,363,408
ch09,1,45,10.355,122,297,342,382,427
ch09,1,46,9.6,130,309,354,405,450
ch09,1,47,9.095,111,319,364,387,432
ch09,1,48,7.18,120,326,371,431,476
ch09,1,49,6.715,105,327,372,420,465
ch09,1,50,7.315,118,340,385,447,492
ch09,1,51,6.81,94,348,393,370,415
ch09,1,52,4.245,65,358,403,381,426
ch09,1,53,5.63,78,364,409,418,463
ch09,1,54,5.48,79,377,422,454,499
ch09,1,55,4.55,68,389,434,464,509
ch09,1,56,3.835,62,390,435,453,498
ch09,1,57,4.145,62,393,438,462,507
ch09,1,58,3.215,51,405,450,451,496
ch09,1,59,3.515,40,416,461,472,517
ch09,1,60,2.465,30,435,480,496,541
ch09,1,61,2.68,19,448,493,500,545
ch09,1,62,2.24,10,459,504,494,539
ch10,1,1,3.84,79,9,54,0,45
ch10,1,2,4.88,61,13,58,0,45
ch10,1,3,6.32,73,13.5,58.5,0,45
ch10,1,4,4.47,67,16.5,61.5,0,45
ch10,1,5,6.39,88,18.5,63.5,12,57
ch10,1,6,5.18,64,21.5,66.5,5,50
ch10,1,7,10.64,126,31.5,76.5,0,45
ch10,1,8,5.85,81,36.5,81.5,7,52
ch10,1,9,3.54,60,40.5,85.5,0,45
ch10,1,10,2.1,15,48.5,93.5,41,86
ch10,1,11,12.32,153,52.5,97.5,0,45
ch10,1,12,6.9,81,60,105,0,45
ch10,1,13,11.7,123,62.5,107.5,22,67
ch10,1,14,8.15,98,71.5,116.5,0,45
ch10,1.1,1,5.2,62,87.5,132.5,34,79
ch10,1.1,2,7.35,95,110.5,155.5,60,105
ch10,1.1,3,4.1,67,124.5,169.5,70,115
ch10,1.1,4,6.5,78,130.5,175.5,87,132
ch10,1.1,5,3.76,56,131.5,176.5,84,129
ch10,1.1,6,5.25,81,136.5,181.5,80,125
ch10,1.1,7,5.05,73,140.5,185.5,77,122
ch10,1.1,8,5.4,71,147.5,192.5,96,141
ch10,1.1,9,7.36,98,151.5,196.5,75,120
ch10,1.1,10,7.08,111,156,201,68,113
ch10,1.1,11,3.85,72,159.5,204.5,119,164
ch10,1.1,12,5.05,79,170,215,115,160
ch10,1.1,13,5.53,83,174.5,219.5,114,159
ch10,1.1,14,9.02,85,184.5,229.5,117,162
ch10,1.1,15,4.85,82,187.5,232.5,151,196
ch10,1.1,16,5.89,75,200.5,245.5,165,210
ch10,1.1,17,7.53,93,204,249,177,222
ch10,1.1,18,8.13,91,218,263,192,237
ch10,1.1,19,6.17,77,220,265,196,241
ch10,1.1,20,8.09,85,236,281,201,246
ch10,1.1,21,7.42,100,240.5,285.5,256,301
ch10,1.1,22,9.7,117,258.5,303.5,277,322
ch10,1.1,23,7.81,93,264.5,309.5,299,344
ch10,1.1,24,7.75,89,281.5,326.5,322,367
ch10,1.1,25,8.78,87,287.5,332.5,314,359
ch10,1.1,26,7.41,84,306.5,351.5,308,353
ch10,1.1,27,6.42,82,308.5,353.5,357,402
ch10,1.1,28,5.5,62,329.5,374.5,378,423
ch10,1.1,29,4.43,53,334.5,379.5,348,393
ch10,1.1,30,4.02,55,347.5,392.5,376,421
ch10,1.1,31,4.18,41,354,399,387,432
ch10,1.1,32,3.65,30.5,366,411,378,423
ch10,1.1,33,2.5,25,371.5,416.5,398,443
ch10,1.1,34,2.52,13,387.5,432.5,396,441
ch10,1.2,1,3.81,58,100,145,50,95
ch10,1.2,2,4.73,72,109,154,49.5,94.5
ch10,1.2,3,4.36,77,116,161,52,97
ch10,1.2,4,5.27,81,121,166,60,105
ch10,1.2,5,5.45,63,127,172,74,119
ch10,1.2,6,5.15,70.5,133,178,76.5,121.5
ch10,1.2,7,4.32,63,137,182,97,142
ch10,1.2,8,4.98,67,144,189,100.5,145.5
ch10,1.2,9,5.21,73,149,194,10,55
ch10,1.2,10,5.06,79,154,199,101.5,146.5
ch10,1.2,11,4.84,66.5,158.5,203.5,123,168
ch10,1.2,12,4.19,70,165.5,210.5,118.5,163.5
ch10,1.2,13,5.15,86.5,170,215,101,146
ch10,1.2,14,5.45,81.5,174,219,123,168
ch10,1.2,15,4.85,65.5,196,241,165.5,210.5
ch10,1.2,16,5.8,84,193.5,238.5,158,203
ch10,1.2,17,7.25,83,207,252,185,230
ch10,1.2,18,4.27,55,212.5,257.5,200,245
ch10,1.2,19,5,60,227,272,220,265
ch10,1.2,20,5.44,74,237.5,282.5,213,258
ch10,1.2,21,5.89,67,253.5,298.5,361,406
ch10,1.2,22,5.65,68,256.5,301.5,252,297
ch10,1.2,23,4.9,53,271.5,316.5,306,351,
ch10,1.2,24,4.73,55,276.5,321.5,278,323,
ch10,1.2,25,3.5,40,287,332,300,345,
ch10,1.2,26,3.05,41,292,337,305,350,
ch10,1.2,27,3.65,32,304,349,335,380,
ch10,1.2,28,2.37,18,310,355,320,365,
ch10,1.2,29,2.34,8,319,364,328,373,
ch10,1.2,30,1.32,8,324,369,329,374,
ch11,1,1,2.54,22,9,54,0,45,Dead
ch11,1,2,1.565,10,10,55,,,Dead
ch11,1,3,1.165,11,11.5,56.5,12,57,
ch11,1,4,1.665,13,12,57,16,61,
ch11,1,5,3.895,73,14,59,0,45,
ch11,1,6,2.705,45,17,62,0,45,
ch11,1,7,4.32,68,18,63,0,45,
ch11,1,8,2.21,30,20,65,0,45,
ch11,1,9,10.5,126,22,67,0,45
ch11,1,10,4.36,51,24,69,0,45
ch11,1,11,6.415,91,29,74,0,45
ch11,1,12,7.435,84,30,75,0,45
ch11,1,13,9.435,126,34,79,22,67
ch11,1,14,6.815,89,40,85,0,45
ch11,1,15,7.305,83,44,89,8,53
ch11,1,16,3.47,71,55,100,16,61
ch11,1.1,1,6.825,107,81,126,18,63
ch11,1.1,2,2.295,57,81,126,47,92
ch11,1.1,3,2.255,46,86,131,63,108
ch11,1.1,4,2.97,66,90,135,45,90
ch11,1.1,5,1.795,58,94,139,57,102
ch11,1.1,6,2.335,50,97,142,59,104
ch11,1.1,7,3.7,80,103,148,38,83
ch11,1.1,8,4.93,90,103,148,45,90
ch11,1.1,9,3.37,63,111,156,60,105
ch11,1.1,10,4.68,77,116,161,73,118
ch11,1.1,11,5.735,35,127,172,71,116
ch11,1.1,12,6,102,127,172,54,99
ch11,1.1,13,5.745,100,140,185,65,110
ch11,1.1,14,5.19,79,148,193,94,139
ch11,1.1,15,5.295,101,161,206,85,130
ch11,1.1,16,4.585,87,161,206,89,134
ch11,1.1,17,7.3,103,168,213,118,163
ch11,1.1,18,8.7,110,175,220,130,175
ch11,1.1,19,7.38,115,188,233,140,185
ch11,1.1,20,7.575,110,194,239,151,196
ch11,1.1,21,11.81,179,206,251,357,402
ch11,1.1,22,5.8,92,212,257,147,192
ch11,1.1,23,4.51,74,224,269,189,234
ch11,1.1,24,2.85,5,229,274,181,226
ch11,1.1,25,5.87,98,238,283,218,263
ch11,1.1,26,5.58,95,242,287,253,298
ch11,1.1,27,6.735,100,254,299,246,291
ch11,1.1,28,6.335,98,262,307,220,265
ch11,1.1,29,5.935,80,277,322,232,277
ch11,1.1,30,6.435,98,288,333,324,369
ch11,1.1,31,5.625,81,301,346,308,353
ch11,1.1,32,6.245,83,313,358,332,377
ch11,1.1,33,5.865,93,327,372,373,418
ch11,1.1,34,4.665,71,338,383,385,430
ch11,1.1,35,4.97,77,346,391,379,424
ch11,1.1,36,4.21,63,362,407,441,486
ch11,1.1,37,4.46,59,371,416,435,480
ch11,1.1,38,3.185,49,385,430,446,491
ch11,1.1,39,2.95,39,393,438,467,512
ch11,1.1,40,2.88,40,407,452,480,525
ch11,1.1,41,2.535,21,418,463,491,536,
ch11,1.1,42,2.195,12,431,476,493,538,
ch11,1.2,1,5.645,82,74,119,15,60,
ch11,1.2,2,3.995,54,84,129,44,89,
ch11,1.2,3,2.785,49,91,136,58,103,
ch11,1.2,4,1.99,48,94,139,56,101,
ch11,1.2,5,3.155,60,98,143,48,93,
ch11,1.2,6,2.24,51,102,147,62,107,
ch11,1.2,7,3.14,53,102,147,57,102,
ch11,1.2,8,3.825,69,107,152,43,88,
ch11,1.2,9,3.51,23,111,156,107,152,Broken at 23cm
ch11,1.2,10,5.7,87,121,166,63,108,
ch11,1.2,11,4.895,53,124,169,72,117,
ch11,1.2,12,4.84,57,136,181,82,127,
ch11,1.2,13,6.22,97,144,189,81,126,
ch11,1.2,14,6.225,92,151,196,85,130,
ch11,1.2,15,5.535,82,156,201,84,129
ch11,1.2,16,7.245,104,167,212,97,142
ch11,1.2,17,6.135,90,175,220,110,155
ch11,1.2,18,5.72,83,187,232,132,177
ch11,1.2,19,6.75,97,190,235,107,152
ch11,1.2,20,7.235,100,204,249,148,193
ch11,1.2,21,6.78,111,211,256,167,212
ch11,1.2,22,7.845,112,221,266,203,248
ch11,1.2,23,8.025,90,227,272,152,197
ch11,1.2,24,6.225,78,239,284,178,223
ch11,1.2,25,5.785,92,245,290,195,240
ch11,1.2,26,6.555,98,261,306,246,291
ch11,1.2,27,5.46,70,270,315,244,289
ch11,1.2,28,6.645,90,283,328,228,273
ch11,1.2,29,6.335,89,291,336,272,317
ch11,1.2,30,5.5,80,301,346,264,309
ch11,1.2,31,5.93,80,306,351,294,339
ch11,1.2,32,5.465,81,321,366,325,370
ch11,1.2,33,5.98,79,328,373,290,335
ch11,1.2,34,4.995,70,342,387,351,396
ch11,1.2,35,5.88,73,349,394,415,460
ch11,1.2,36,4.615,67,365,410,420,465
ch11,1.2,37,4.685,61,373,418,388,433
ch11,1.2,38,3.535,43,389,434,380,425
ch11,1.2,39,3.93,38,398,443,411,456
ch11,1.2,40,2.595,30,413,458,472,517
ch11,1.2,41,1.79,22,422,467,469,514
ch11,1.2,42,1.925,13,430,475,472,517
ch12,1,1,3.85,55,10,55,0,45
ch12,1,2,2.81,53,11,56,0,45
ch12,1,3,4.155,27,14,59,20,65
ch12,1,4,2.66,33,14.5,59.5,0,45
ch12,1,5,1.44,57,15.5,60.5,0,45
ch12,1,6,4.12,71,16,61,0,45
ch12,1,7,7.395,90,18,63,0,45
ch12,1,8,2.965,47,19,64,0,45
ch12,1,9,6.565,63,23,68,0,45
ch12,1,10,9.97,78,23.2,68.2,0,45
ch12,1,11,8.885,70,26.2,71.2,0,45
ch12,1,12,9.19,69,30.2,75.2,0,45
ch12,1,13,4.315,56,35.2,80.2,0,45
ch12,1,14,5.13,57,36.2,81.2,0,45
ch12,1,15,3.67,41,43.7,88.7,22,67
ch12,1,16,3.13,57,45.2,90.2,0,45
ch12,1,17,3.31,61,48.2,93.2,0,45
ch12,1,18,1.94,41,54.2,99.2,27,72
ch12,1,19,7.96,90,57.7,102.7,0,45
ch12,1,20,2.93,48,58.2,103.2,13,58
ch12,1,21,2.4,44,58.5,103.5,19,64,
ch12,1,22,8.255,100,60.5,105.5,19,64,
ch12,1,23,3.74,62,61.5,106.5,20,65,
ch12,1,24,4.575,60,62,107,14,59,
ch12,1,25,3.065,50,61.5,106.5,20,65,
ch12,1,26,4.78,66,61.7,106.7,8,53,
ch12,1,27,1.255,35,60.7,105.7,35,80,very long given diameter: check original sheets
ch12,1,28,3.32,56,62.2,107.2,7,52,
ch12,1,29,3.99,53,70.2,115.2,41,86,
ch12,1,30,2.86,61,71.2,116.2,11,56,
ch12,1,31,4.795,61,76.2,121.2,47,92,
ch12,1,32,6.365,88,77.7,122.7,17,62,
ch12,1,33,3.3,58,85.7,130.7,31,76,
ch12,1,34,3.765,64,86.2,131.2,40,85,
ch12,1,35,5.085,74,94.2,139.2,39,84,
ch12,1,36,10.525,110,96.2,141.2,167,212,
ch12,1,37,4.69,58,103.7,148.7,47,92
